COG6	DCTN6
CAPZB	DCTN6
COPG2	DCTN6
DCTN2	DCTN6
DCTN4	DCTN6
ARFGAP2	DCTN6
ARF1	DCTN6
COPZ1	DCTN6
COPZ2	DCTN6
BICD1	DCTN6
BICD2	DCTN6
AR	DCTN6
CLIP1	DCTN6
ARF5	BET1
ACTR10	BET1
ARF3	BET1
ARFGAP3	BET1
ARCN1	BET1
ANK1	BET1
ANK3	BET1
ARF4	BET1
ARFGAP1	BET1
ANK2	BET1
ACTR1A	BET1
ARFGAP2	BET1
ARF1	BET1
AREG	BET1
ARF5	YKT6
SPTBN2	YKT6
DCTN6	YKT6
BET1	YKT6
GOSR2	YKT6
GOSR1	YKT6
COPB1	YKT6
ACTR10	YKT6
ARF3	YKT6
DYNC1LI2	YKT6
COG3	YKT6
KDELR2	YKT6
DCTN3	YKT6
TMED2	YKT6
COPE	YKT6
CAPZA1	YKT6
ARFGAP3	YKT6
NAPA	YKT6
SPTBN4	YKT6
ARCN1	YKT6
ANK1	YKT6
TMEM115	YKT6
DYNC1LI1	YKT6
ANK3	YKT6
STX5	YKT6
COG5	YKT6
TMED3	YKT6
COG1	YKT6
DCTN5	YKT6
TMED10	YKT6
COG7	YKT6
COG8	YKT6
ARF4	YKT6
RAB1B	YKT6
GORASP1	YKT6
ARFGAP1	YKT6
COG4	YKT6
SPTBN5	YKT6
DYNC1I1	YKT6
NAPG	YKT6
COPG1	YKT6
CAPZA3	YKT6
COPB2	YKT6
KDELR1	YKT6
TMED9	YKT6
DYNC1H1	YKT6
SPTBN1	YKT6
ANK2	YKT6
DCTN1	YKT6
CAPZA2	YKT6
COG2	YKT6
CD55	YKT6
COPA	YKT6
SPTA1	YKT6
ACTR1A	YKT6
GBF1	YKT6
SPTAN1	YKT6
BET1L	YKT6
DYNLL1	YKT6
GOLGB1	YKT6
FOLR1	YKT6
CD59	YKT6
DYNC1I2	YKT6
INS	YKT6
NSF	YKT6
KDELR3	YKT6
RAB1A	YKT6
COG6	YKT6
CAPZB	YKT6
COPG2	YKT6
TMED7	YKT6
DCTN2	YKT6
DCTN4	YKT6
GOLGA2	YKT6
ARFGAP2	YKT6
ARF1	YKT6
USO1	YKT6
COPZ1	YKT6
SPTB	YKT6
DYNLL2	YKT6
COPZ2	YKT6
NAPB	YKT6
USE1	YKT6
STX18	YKT6
SEC22B	YKT6
SEC24D	YKT6
SEC23A	YKT6
SEC24C	YKT6
SEC13	YKT6
SEC31A	YKT6
SEC24A	YKT6
SEC24B	YKT6
CLTA	YKT6
EREG	YKT6
CLTB	YKT6
TRAPPC6A	YKT6
CNIH1	YKT6
CTSZ	YKT6
CTSC	YKT6
TFG	YKT6
LMAN1	YKT6
STX17	YKT6
SEC22C	YKT6
CNIH3	YKT6
TRAPPC10	YKT6
TGFA	YKT6
TRAPPC2L	YKT6
TRAPPC1	YKT6
LMAN2	YKT6
RAB33B	YKT6
SEC16B	YKT6
CNIH2	YKT6
LMAN1L	YKT6
SEC22A	YKT6
CSNK1D	YKT6
SEC16A	YKT6
TRAPPC6B	YKT6
COL7A1	YKT6
F8	YKT6
F5	YKT6
SEC23IP	YKT6
LMAN2L	YKT6
TRAPPC9	YKT6
AREG	YKT6
SAR1B	YKT6
MCFD2	YKT6
SCFD1	YKT6
TRAPPC2	YKT6
SERPINA1	YKT6
GRIA1	YKT6
TRAPPC4	YKT6
TRAPPC5	YKT6
TRAPPC3	YKT6
STX1A	YKT6
SNAP25	YKT6
VAMP2	YKT6
SLC2A4	YKT6
VAMP3	YKT6
GOLGA5	YKT6
SNAP29	YKT6
LNPEP	YKT6
VAMP4	YKT6
SNAP23	YKT6
STX6	YKT6
MAN2A1	YKT6
VAMP7	YKT6
VAMP8	YKT6
STX8	YKT6
VAMP5	YKT6
VPS41	YKT6
STX4	YKT6
VPS39	YKT6
STX3	YKT6
MAN1A2	YKT6
CUX1	YKT6
PCMT1	YKT6
STX11	YKT6
STX7	YKT6
UFC1	YKT6
MAN1A1	YKT6
STX16	YKT6
STX12	YKT6
MAN1C1	YKT6
STXBP4	YKT6
RFK	YKT6
VPS16	YKT6
VTI1A	YKT6
VAMP1	YKT6
GOLIM4	YKT6
VTI1B	YKT6
MAN2A2	YKT6
STX10	YKT6
DCTN6	GOSR2
BET1	GOSR2
GOSR1	GOSR2
COPB1	GOSR2
ACTR10	GOSR2
DYNC1LI2	GOSR2
COG3	GOSR2
DCTN3	GOSR2
COPE	GOSR2
CAPZA1	GOSR2
ARCN1	GOSR2
ANK1	GOSR2
DYNC1LI1	GOSR2
ANK3	GOSR2
COG5	GOSR2
COG1	GOSR2
DCTN5	GOSR2
COG7	GOSR2
COG8	GOSR2
GORASP1	GOSR2
COG4	GOSR2
DYNC1I1	GOSR2
COPG1	GOSR2
CAPZA3	GOSR2
COPB2	GOSR2
DYNC1H1	GOSR2
ANK2	GOSR2
DCTN1	GOSR2
CAPZA2	GOSR2
COG2	GOSR2
CD55	GOSR2
COPA	GOSR2
ACTR1A	GOSR2
GBF1	GOSR2
BET1L	GOSR2
DYNLL1	GOSR2
GOLGB1	GOSR2
FOLR1	GOSR2
CD59	GOSR2
DYNC1I2	GOSR2
COG6	GOSR2
CAPZB	GOSR2
COPG2	GOSR2
DCTN2	GOSR2
DCTN4	GOSR2
GOLGA2	GOSR2
ARF1	GOSR2
COPZ1	GOSR2
DYNLL2	GOSR2
COPZ2	GOSR2
BNIP1	GOSR2
CLTA	GOSR2
CLTB	GOSR2
CNIH1	GOSR2
CTSZ	GOSR2
CTSC	GOSR2
CNIH3	GOSR2
CNIH2	GOSR2
CSNK1D	GOSR2
COL7A1	GOSR2
F8	GOSR2
F5	GOSR2
AREG	GOSR2
DCTN6	GOSR1
BET1	GOSR1
COPB1	GOSR1
ACTR10	GOSR1
DYNC1LI2	GOSR1
COG3	GOSR1
DCTN3	GOSR1
COPE	GOSR1
CAPZA1	GOSR1
ARCN1	GOSR1
ANK1	GOSR1
DYNC1LI1	GOSR1
ANK3	GOSR1
COG5	GOSR1
COG1	GOSR1
DCTN5	GOSR1
COG7	GOSR1
COG8	GOSR1
GORASP1	GOSR1
COG4	GOSR1
DYNC1I1	GOSR1
COPG1	GOSR1
CAPZA3	GOSR1
COPB2	GOSR1
DYNC1H1	GOSR1
ANK2	GOSR1
DCTN1	GOSR1
CAPZA2	GOSR1
COG2	GOSR1
CD55	GOSR1
COPA	GOSR1
ACTR1A	GOSR1
BET1L	GOSR1
DYNLL1	GOSR1
GOLGB1	GOSR1
FOLR1	GOSR1
CD59	GOSR1
DYNC1I2	GOSR1
COG6	GOSR1
CAPZB	GOSR1
COPG2	GOSR1
DCTN2	GOSR1
DCTN4	GOSR1
GOLGA2	GOSR1
COPZ1	GOSR1
DYNLL2	GOSR1
COPZ2	GOSR1
GOLGA5	GOSR1
CUX1	GOSR1
GOLIM4	GOSR1
DCTN6	HLA-DOA
ACTR10	HLA-DOA
DYNC1LI2	HLA-DOA
DCTN3	HLA-DOA
CAPZA1	HLA-DOA
CENPE	HLA-DOA
DYNC1LI1	HLA-DOA
ACTR1B	HLA-DOA
DCTN5	HLA-DOA
DYNC1I1	HLA-DOA
CAPZA3	HLA-DOA
DYNC1H1	HLA-DOA
DCTN1	HLA-DOA
CAPZA2	HLA-DOA
ACTR1A	HLA-DOA
HLA-DMA	HLA-DOA
DYNLL1	HLA-DOA
DYNC1I2	HLA-DOA
HLA-DMB	HLA-DOA
CAPZB	HLA-DOA
DCTN2	HLA-DOA
DCTN4	HLA-DOA
DYNLL2	HLA-DOA
CD74	HLA-DOA
HLA-C	HLA-DOA
HLA-A	HLA-DOA
HLA-B	HLA-DOA
ARF5	COPB1
BET1	COPB1
ACTR10	COPB1
ARF3	COPB1
COG3	COPB1
CAPZA1	COPB1
ARFGAP3	COPB1
ARCN1	COPB1
CENPE	COPB1
ANK1	COPB1
ANK3	COPB1
COG5	COPB1
COG1	COPB1
COG7	COPB1
COG8	COPB1
ARF4	COPB1
ARFGAP1	COPB1
COG4	COPB1
CAPZA3	COPB1
ANK2	COPB1
CAPZA2	COPB1
COG2	COPB1
CD55	COPB1
COPA	COPB1
ACTR1A	COPB1
BET1L	COPB1
CD59	COPB1
COG6	COPB1
CAPZB	COPB1
ARFGAP2	COPB1
ARF1	COPB1
BNIP1	COPB1
CDC5L	COPB1
AP1G2	COPB1
AP2A1	COPB1
AP2M1	COPB1
AP2A2	COPB1
ATP6V0C	COPB1
CEACAM1	COPB1
CEACAM8	COPB1
CD93	COPB1
ADAM10	COPB1
CHRNB4	COPB1
CD33	COPB1
CD53	COPB1
ATP8B4	COPB1
CLEC4D	COPB1
CLEC12A	COPB1
CD300A	COPB1
CD47	COPB1
ATP6AP2	COPB1
ANO6	COPB1
ATP11A	COPB1
CLEC4C	COPB1
CLEC5A	COPB1
ADAM8	COPB1
CD177	COPB1
ACLY	ACTR10
FYN	KRAS
HRAS	KRAS
DLG4	KRAS
EREG	KRAS
HSP90AA1	KRAS
AKAP9	KRAS
FGF2	KRAS
EGF	KRAS
ERBB3	KRAS
IGF1R	KRAS
ERBB2	KRAS
EGFR	KRAS
KIT	KRAS
IRS1	KRAS
GNAI2	KRAS
GNAI1	KRAS
IRS2	KRAS
GRB2	KRAS
AKT1	KRAS
IQGAP1	KRAS
AP3B1	KRAS
ARRB1	KRAS
ACTN2	KRAS
EPHB2	KRAS
BCL2L11	KRAS
ARRB2	KRAS
EFNB1	KRAS
HGF	KRAS
EFNB3	KRAS
EFNB2	KRAS
FGF23	KRAS
FGA	KRAS
FGG	KRAS
FN1	KRAS
IL2RB	KRAS
CSK	KRAS
IL2	KRAS
GNAI3	KRAS
IL2RG	KRAS
IL2RA	KRAS
FGF4	KRAS
FGF20	KRAS
FGF22	KRAS
CDC37	KRAS
FGF6	KRAS
KLB	KRAS
EP300	KRAS
FGF10	KRAS
FGF7	KRAS
FGF18	KRAS
ERLIN2	KRAS
FGFR4	KRAS
FGF19	KRAS
FGF3	KRAS
ATG7	KRAS
FGF9	KRAS
FGF16	KRAS
BRAP	KRAS
CDKN2A	KRAS
FRS2	KRAS
FGF1	KRAS
JAK1	KRAS
JAK2	KRAS
JAK3	KRAS
GNAQ	KRAS
FGFR3	KRAS
FGFR2	KRAS
ITGB3	KRAS
HBEGF	KRAS
CSF2	KRAS
BTC	KRAS
FGB	KRAS
CLCN6	KRAS
ITGA2B	KRAS
BRAF	KRAS
ARAF	KRAS
IL17RD	KRAS
AGGF1	KRAS
AGTRAP	KRAS
FAM114A2	KRAS
AGK	KRAS
FXR1	KRAS
CNKSR1	KRAS
APBB1IP	KRAS
CNKSR2	KRAS
KDM7A	KRAS
ESRP1	KRAS
FAM131B	KRAS
KIAA1549	KRAS
BAG4	KRAS
CAMK2G	KRAS
CAMK2D	KRAS
CAMK2B	KRAS
CAMK2A	KRAS
CBFB	KRAS
IL5	KRAS
IKZF3	KRAS
GAB2	KRAS
IL5RA	KRAS
FRS3	KRAS
FGFR1	KRAS
BDNF	KRAS
IL3	KRAS
FLT3	KRAS
ANGPT1	KRAS
ARHGAP35	KRAS
GFRA3	KRAS
GFRA4	KRAS
IL3RA	KRAS
GFRA1	KRAS
CSF2RB	KRAS
ARTN	KRAS
CSF2RA	KRAS
GDNF	KRAS
GFRA2	KRAS
GRIN2A	KRAS
GRIN2B	KRAS
AFDN	KRAS
DAB2IP	KRAS
